Array.Data.File,group
GSM558361_MPI-801.CEL,1
GSM558362_MPI-802.CEL,1
GSM558363_MPI-806.CEL,1
GSM558364_MPI-807.CEL,1
GSM558365_MPI-808.CEL,1
GSM558366_MPI-810.CEL,1
GSM558367_MPI-811.CEL,1
GSM558368_MPI-812.CEL,1
GSM558369_MPI-813.CEL,1
GSM558370_MPI-814.CEL,1
GSM558371_MPI-815.CEL,1
GSM558372_MPI-816.CEL,1
GSM558373_MPI-817.CEL,1
GSM558374_MPI-818.CEL,1
GSM558375_MPI-820.CEL,1
GSM558376_MPI-821.CEL,1
GSM558377_MPI-822.CEL,1
GSM558378_MPI-823.CEL,1
GSM558379_MPI-826.CEL,1
GSM558380_MPI-827.CEL,1
GSM558381_MPI-830.CEL,1
GSM558382_MPI-832.CEL,1
GSM558383_MPI-834.CEL,1
GSM558384_MPI-835.CEL,0
GSM558385_MPI-839.CEL,1
GSM558386_MPI-840.CEL,1
GSM558387_MPI-841.CEL,1
GSM558388_MPI-842.CEL,1
GSM558389_MPI-843.CEL,1
